REPDTE,ASSET,CERT,INTINC,NETINC,NONII,LNLSNET,DEP,NPERFV,ID
20260331,1123388,32242,13015.0,-314.0,256.0,795083,991223,1.1643350293932284,32242_20260331
20260331,1122769,12828,15254.0,2776.0,2184.0,782739,920985,0.4139765169861298,12828_20260331
20260331,1121513,10308,17128.0,2643.0,697.0,908654,969864,0.8320902209782677,10308_20260331
20260331,1119899,31840,16424.0,2871.0,732.0,1064029,858567,0.213947864941392,31840_20260331
20260331,1117417,12611,17178.0,5765.0,2467.0,897324,897881,1.1089861707849442,12611_20260331
20260331,1116792,35214,14132.0,3688.0,3679.0,807715,930785,0.1857104993588779,35214_20260331
20260331,1115178,28788,11088.0,1897.0,1086.0,645673,1000158,0.0894924397719467,28788_20260331
20260331,1114807,17478,16387.0,2072.0,503.0,780260,949685,7.27246958442134,17478_20260331
20260331,1114478,34010,14708.0,2817.0,226.0,814641,839626,0.6078181893227144,34010_20260331
20260331,1113298,13868,14772.0,4071.0,688.0,874695,969709,0.1055422717008384,13868_20260331
20260331,1112819,12874,14279.0,2573.0,1331.0,874971,953231,0.4115673797805393,12874_20260331
20260331,1112104,90208,12751.0,1037.0,782.0,888692,877941,0.5982354168315194,90208_20260331
20260331,1111947,57451,14507.0,1879.0,870.0,913164,974771,0.6708952854767358,57451_20260331
20260331,1106725,20856,13385.0,2476.0,1635.0,618678,963722,0.8405882220063702,20856_20260331
20260331,1099845,1874,11661.0,2596.0,2076.0,359496,1019846,1.0555123676518054,1874_20260331
20260331,1099263,3091,14226.0,4540.0,1633.0,664198,990765,0.1749353885284959,3091_20260331
20260331,1098087,29782,12738.0,4063.0,1774.0,641521,969666,0.3585326117147366,29782_20260331
20260331,1096299,8660,12525.0,3231.0,3118.0,607751,992142,0.0951382788819473,8660_20260331
20260331,1094102,292,14103.0,2661.0,1441.0,778895,949413,0.1059316224629879,292_20260331
20260331,1092587,12591,11397.0,3128.0,1006.0,301502,984504,0.0136373579403745,12591_20260331
20260331,1092193,1545,11080.0,3224.0,1789.0,665848,939291,0.8736551140686672,1545_20260331
20260331,1091808,23806,15135.0,4648.0,938.0,887678,845614,1.5042937952460504,23806_20260331
20260331,1091126,11807,13055.0,3126.0,1876.0,834238,934376,0.0515980739163029,11807_20260331
20260331,1087944,6811,13062.0,3102.0,1912.0,735614,998523,0.1358525806475333,6811_20260331
20260331,1086417,34415,10053.0,5604.0,10133.0,490828,976611,0.1631970044651363,34415_20260331
20260331,1086048,27872,14603.0,6326.0,2602.0,657558,825056,1.5729507351424616,27872_20260331
20260331,1084684,34422,14427.0,3527.0,742.0,853746,903260,0.0560531915285926,34422_20260331
20260331,1084528,34252,11521.0,1714.0,8518.0,503967,559752,0.2580846229880649,34252_20260331
20260331,1081951,34363,14055.0,1886.0,2305.0,886369,877890,0.1392854205042557,34363_20260331
20260331,1081100,35157,17917.0,-94.0,1666.0,739079,930692,0.481361576172417,35157_20260331
20260331,1080401,13109,14154.0,1968.0,3153.0,884744,859286,0.5149939698315718,13109_20260331
20260331,1078904,28396,13593.0,4049.0,2949.0,782097,972919,0.1070530834995514,28396_20260331
20260331,1078099,9288,14270.0,5760.0,1468.0,760506,969664,0.3947689405147394,9288_20260331
20260331,1078019,6531,15424.0,6448.0,1617.0,857507,846629,0.5460015083222095,6531_20260331
20260331,1077643,35521,16481.0,2356.0,-403.0,884527,924426,0.2247497547889236,35521_20260331
20260331,1073149,15136,15319.0,4735.0,1259.0,805224,918457,0.0742674130060224,15136_20260331
20260331,1072343,17115,13362.0,2517.0,781.0,869175,809236,0.0727379206093572,17115_20260331
20260331,1072055,88,16411.0,2956.0,1705.0,742303,910938,1.6604558534776666,88_20260331
